method,seed,shd,shd_cpdag,f1,bic_per_row,test_loglik,test_neg_js,seconds
true,0,0,0,1.0,-2.2762596010090386,-2.29436162690522,-0.0007965908918398421,4.00003045797348e-07
hc,0,10,10,0.11764705882352941,-2.279774276602478,-2.3019684156331297,-0.0017654069046912392,0.014096699946094304
tabu,0,5,5,0.5,-2.275801492220855,-2.2949149565728812,-0.0012033468392365248,0.021562599984463304
ges,0,2,1,0.7999999999999999,-2.275012930059757,-2.2938292490116425,-0.0009808332015709032,3.427822199999355
rlbayes,0,5,5,0.625,-2.2772275928442918,-2.2955477730555276,-0.0011659308365152493,0.7613443000009283
qlearn,0,5,5,0.625,-2.2783745043825014,-2.300659349463139,-0.001118130447357318,96.86126530001638
true,1,0,0,1.0,-2.2586761624508926,-2.168262296886064,-0.0012040230305322482,6.00004568696022e-07
hc,1,9,7,0.33333333333333326,-2.26426815435238,-2.1688511947286218,-0.0021792662369148432,0.018027300015091896
tabu,1,6,5,0.5882352941176471,-2.2617108300676487,-2.168571061683404,-0.0013281299425661288,0.012332199956290424
ges,1,2,1,0.7999999999999999,-2.2580342941909537,-2.167786218038414,-0.001300104505629231,2.652034500031732
rlbayes,1,2,1,0.7999999999999999,-2.2580342941909537,-2.167786218038414,-0.001300104505629231,0.772786499990616
qlearn,1,9,10,0.33333333333333326,-2.3024271814624067,-2.211237847302627,-0.0012418996813825574,86.05458160000853
true,2,0,0,1.0,-2.226346803705302,-2.258185176374808,-0.0007782016426607629,1.00000761449337e-06
hc,2,5,5,0.5,-2.2265640017291366,-2.2576499541831154,-0.0007858406665083663,0.022840999998152256
tabu,2,5,5,0.5,-2.2265640017291366,-2.2576499541831154,-0.0007858406665083663,0.01580410002497956
ges,2,2,1,0.7999999999999999,-2.225259186676372,-2.2575307604243484,-0.0008253497202678835,2.2296720999875106
rlbayes,2,6,5,0.375,-2.2265640017291366,-2.2576386710747807,-0.0006555308603849697,0.9033430999843404
qlearn,2,10,9,0.33333333333333326,-2.2349715998803434,-2.265096256918687,-0.0007299126316091637,90.78758239996387
true,3,0,0,1.0,-2.2981042119181887,-2.2333326557428883,-0.0011496576419078959,1.200009137392044e-06
hc,3,6,5,0.375,-2.2985783040720627,-2.2309874021763036,-0.001587984024385531,0.018952299957163632
tabu,3,2,1,0.7999999999999999,-2.297250593084701,-2.2329514337012433,-0.0011840367844575513,0.018721200001891702
