method,seed,shd,shd_cpdag,f1,bic_per_row,test_loglik,test_neg_js,seconds,steps,gen_evals,unseen
dqn_mlp_best,0,2,1,0.7999999999999999,-2.275012930059757,-2.2938981231485283,-0.0010717550831649577,692.3521206000005,99781,18019,
dqn_mlp_greedy,0,11,11,0.2105263157894737,-2.2843892484792514,-2.301143097950142,-0.0013465444716779151,692.3521206000005,99781,18019,0
dqn_mlp_best,1,2,1,0.7999999999999999,-2.258034294190954,-2.167857713812658,-0.0010783864420948548,693.493553700042,99662,18112,
dqn_mlp_greedy,1,10,11,0.22222222222222224,-2.2663007184328587,-2.168843877556615,-0.0010373522560378071,693.493553700042,99662,18112,0
dqn_mlp_best,2,2,1,0.7999999999999999,-2.225259186676372,-2.2574986711941083,-0.0007005307651034151,700.9566877000034,99802,18018,
dqn_mlp_greedy,2,4,3,0.7058823529411765,-2.228808004782212,-2.256393313270987,-0.0007557933037962832,700.9566877000034,99802,18018,0
dqn_mlp_best,3,1,1,0.9333333333333333,-2.297250593084701,-2.232838656564124,-0.001122944554535125,692.781050199992,99668,17955,
dqn_mlp_greedy,3,8,9,0.4444444444444445,-2.306020624780952,-2.2350147485719067,-0.0012702763640398361,692.781050199992,99668,17955,0
dqn_mlp_best,4,2,1,0.7999999999999999,-2.2600848399536186,-2.233172576973614,-0.00036016607075956713,752.7420825000154,99846,17942,
dqn_mlp_greedy,4,7,4,0.35294117647058826,-2.2628673541535234,-2.2439928105414677,-0.0009243007862671091,752.7420825000154,99846,17942,0
dqn_mlp_best,5,1,0,0.875,-2.2705022285920236,-2.250863900858037,-0.0004277653040331098,751.3311842000112,99898,17886,
dqn_mlp_greedy,5,11,12,0.11764705882352941,-2.303981924428283,-2.289414493711039,-0.0012393500099436264,751.3311842000112,99898,17886,0
dqn_mlp_best,6,1,1,0.9333333333333333,-2.254929208580846,-2.3298601382076387,-0.00044437410547033617,744.3160676999833,99470,18111,
dqn_mlp_greedy,6,9,9,0.33333333333333326,-2.2647973442954785,-2.329697274618268,-0.0005918722219641943,744.3160676999833,99470,18111,0
dqn_mlp_best,7,1,1,0.9333333333333333,-2.2258656763486377,-2.3092319736292968,-0.0009199672728496234,743.3646387999761,99664,17720,
dqn_mlp_greedy,7,14,14,0.10526315789473685,-2.2785472018717967,-2.354238759244823,-0.0017508490448606383,743.3646387999761,99664,17720,0
dqn_mlp_best,8,2,1,0.7999999999999999,-2.2487484402897153,-2.1786784170675886,-0.000479173069608452,549.236847800028,99742,17730,
dqn_mlp_greedy,8,13,14,0.1904761904761905,-2.2635698174153203,-2.1783666796151793,-0.00040219437901053534,549.236847800028,99742,17730,0
dqn_mlp_best,9,1,1,0.9333333333333333,-2.284564613800765,-2.2406142323387566,-0.0006099729623576111,550.6722947999951,99638,18125,
dqn_mlp_greedy,9,8,8,0.35294117647058826,-2.291787659056149,-2.2450568054625855,-0.0007321538990819539,550.6722947999951,99638,18125,0
